sex,ds,year,historical_y,yhat,yhat_lower,yhat_upper,is_forecast
Female,2015-01-01,2015,2.729142359207671,2.714024981317506,2.679698274442594,2.7454238475034463,0
Female,2016-01-01,2016,2.7204898610603516,2.7540428578318346,2.720174668222236,2.786523553321194,0
Female,2017-01-01,2017,2.8574358054767943,2.8037583667212913,2.7738454538246176,2.832103663835192,0
Female,2018-01-01,2018,2.8187530961985674,2.8533380408870066,2.8239717184875532,2.885525082741974,0
Female,2019-01-01,2019,2.9223305898475926,2.902917715052722,2.874219900424805,2.936333015901711,0
Female,2020-01-01,2020,2.9016713541349213,2.9524973892184376,2.9213034286374873,2.982994592792252,0
Female,2021-01-01,2021,3.0405251167447247,3.0022128981078944,2.970573747254464,3.032916099623739,0
Female,2022-01-01,2022,3.0517985455736394,3.0517925722736097,3.019233526115373,3.0840394316199076,0
Female,2023-01-01,2023,,3.101372246439325,3.0726711821130537,3.1320412933116093,1
Female,2024-01-01,2024,,3.1509519206050403,3.117537133040296,3.1856360677315934,1
Female,2025-01-01,2025,,3.2006674294944975,3.1617964908664713,3.23826027000935,1
Female,2026-01-01,2026,,3.2502471036602127,3.2071172725151156,3.2930275713446626,1
Female,2027-01-01,2027,,3.2998267778259285,3.250950816754789,3.3521875169319277,1
Female,2028-01-01,2028,,3.349406451991643,3.2889778837898045,3.419249555296915,1
Female,2029-01-01,2029,,3.3991219608811,3.3292532701841107,3.48434847190947,1
Female,2030-01-01,2030,,3.448701635046816,3.3588494977488397,3.5442680894081398,1
